time,vertex,state,state_id,buffer_occupation,production_step
23,14,blocked,1,0.0,2
23,3,working,2,0.0,3
23,6,working,2,0.0,3
24,0,working,2,0.0,0
24,7,working,2,0.0,0
24,10,working,2,0.0,0
24,11,blocked,1,0.0,0
24,1,working,2,0.0,1
24,4,working,2,0.0,1
24,5,blocked,1,0.0,1
24,12,blocked,1,0.0,1
24,2,working,2,0.0,2
24,8,blocked,1,0.0,2
24,9,blocked,1,0.0,2
24,13,blocked,1,0.0,2
24,14,blocked,1,0.0,2
24,3,working,2,0.0,3
24,6,working,2,0.0,3
25,0,working,2,0.0,0
25,7,working,2,0.0,0
25,10,working,2,0.0,0
25,11,working,2,0.0,0
25,1,working,2,0.0,1
25,4,blocked,1,0.0,1
25,5,blocked,1,0.0,1
25,12,blocked,1,0.0,1
25,2,working,2,0.0,2
25,8,working,2,0.0,2
25,9,blocked,1,0.0,2
25,13,blocked,1,0.0,2
25,14,blocked,1,0.0,2
25,3,working,2,0.0,3
25,6,working,2,0.0,3
26,0,working,2,0.0,0
26,7,blocked,1,0.0,0
26,10,blocked,1,0.0,0
26,11,blocked,1,0.0,0
26,1,working,2,0.0,1
26,4,working,2,0.0,1
26,5,blocked,1,0.0,1
26,12,blocked,1,0.0,1
26,2,working,2,0.0,2
26,8,working,2,0.0,2
26,9,blocked,1,0.0,2
26,13,blocked,1,0.0,2
26,14,blocked,1,0.0,2
26,3,working,2,0.0,3
26,6,working,2,0.0,3
27,0,working,2,0.0,0
27,7,working,2,0.0,0
27,10,blocked,1,0.0,0
27,11,blocked,1,0.0,0
27,1,working,2,0.0,1
27,4,working,2,0.0,1
27,5,blocked,1,0.0,1
27,12,blocked,1,0.0,1
27,2,working,2,0.0,2
27,8,working,2,0.0,2
27,9,working,2,0.0,2
27,13,blocked,1,0.0,2
27,14,blocked,1,0.0,2
27,3,working,2,0.0,3
27,6,working,2,0.0,3
28,0,working,2,0.0,0
28,7,working,2,0.0,0
28,10,blocked,1,0.0,0
28,11,blocked,1,0.0,0
28,1,working,2,0.0,1
28,4,working,2,0.0,1
28,5,blocked,1,0.0,1
28,12,blocked,1,0.0,1
28,2,working,2,0.0,2
28,8,working,2,0.0,2
28,9,blocked,1,0.0,2
28,13,blocked,1,0.0,2
28,14,blocked,1,0.0,2
28,3,working,2,0.0,3
28,6,working,2,0.0,3
29,0,working,2,0.0,0
29,7,working,2,0.0,0
29,10,blocked,1,0.0,0
29,11,blocked,1,0.0,0
29,1,working,2,0.0,1
29,4,working,2,0.0,1
29,5,working,2,0.0,1
29,12,blocked,1,0.0,1
29,2,working,2,0.0,2
29,8,working,2,0.0,2
29,9,working,2,0.0,2
29,13,working,2,0.0,2
29,14,blocked,1,0.0,2
29,3,working,2,0.0,3
29,6,working,2,0.0,3
30,0,working,2,0.0,0
30,7,working,2,0.0,0
30,10,blocked,1,0.0,0
30,11,blocked,1,0.0,0
30,1,working,2,0.0,1
30,4,working,2,0.0,1
30,5,blocked,1,0.0,1
30,12,blocked,1,0.0,1
30,2,working,2,0.0,2
30,8,working,2,0.0,2
30,9,blocked,1,0.0,2
30,13,blocked,1,0.0,2
30,14,blocked,1,0.0,2
30,3,working,2,0.0,3
30,6,working,2,0.0,3
31,0,working,2,0.0,0
31,7,working,2,0.0,0
31,10,blocked,1,0.0,0
31,11,blocked,1,0.0,0
31,1,working,2,0.0,1
31,4,working,2,0.0,1
31,5,blocked,1,0.0,1
31,12,blocked,1,0.0,1
31,2,working,2,0.0,2
31,8,working,2,0.0,2
31,9,blocked,1,0.0,2
31,13,blocked,1,0.0,2
31,14,blocked,1,0.0,2
31,3,working,2,0.0,3
31,6,working,2,0.0,3
32,0,working,2,0.0,0
32,7,working,2,0.0,0
32,10,blocked,1,0.0,0
32,11,blocked,1,0.0,0
32,1,working,2,0.0,1
32,4,working,2,0.0,1
32,5,blocked,1,0.0,1
32,12,blocked,1,0.0,1
32,2,working,2,0.0,2
32,8,working,2,0.0,2
32,9,working,2,0.0,2
32,13,blocked,1,0.0,2
32,14,blocked,1,0.0,2
32,3,working,2,0.0,3
32,6,working,2,0.0,3
33,0,working,2,0.0,0
33,7,working,2,0.0,0
33,10,blocked,1,0.0,0
33,11,blocked,1,0.0,0
33,1,working,2,0.0,1
33,4,working,2,0.0,1
33,5,working,2,0.0,1
33,12,blocked,1,0.0,1
33,2,working,2,0.0,2
33,8,working,2,0.0,2
33,9,blocked,1,0.0,2
33,13,blocked,1,0.0,2
33,14,blocked,1,0.0,2
33,3,working,2,0.0,3
33,6,working,2,0.0,3
34,0,working,2,0.0,0
34,7,working,2,0.0,0
34,10,blocked,1,0.0,0
34,11,blocked,1,0.0,0
34,1,working,2,0.0,1
34,4,working,2,0.0,1
34,5,blocked,1,0.0,1
34,12,blocked,1,0.0,1
34,2,working,2,0.0,2
34,8,working,2,0.0,2
34,9,blocked,1,0.0,2
34,13,blocked,1,0.0,2
34,14,blocked,1,0.0,2
34,3,working,2,0.0,3
34,6,working,2,0.0,3
35,0,working,2,0.0,0
35,7,working,2,0.0,0
35,10,blocked,1,0.0,0
35,11,blocked,1,0.0,0
35,1,working,2,0.0,1
35,4,blocked,1,0.0,1
35,5,blocked,1,0.0,1
35,12,blocked,1,0.0,1
35,2,working,2,0.0,2
35,8,working,2,0.0,2
35,9,blocked,1,0.0,2
35,13,blocked,1,0.0,2
35,14,blocked,1,0.0,2
35,3,working,2,0.0,3
35,6,working,2,0.0,3
36,0,working,2,0.0,0
36,7,blocked,1,0.0,0
36,10,blocked,1,0.0,0
36,11,blocked,1,0.0,0
36,1,working,2,0.0,1
36,4,working,2,0.0,1
36,5,blocked,1,0.0,1
36,12,blocked,1,0.0,1
36,2,working,2,0.0,2
36,8,working,2,0.0,2
36,9,working,2,0.0,2
36,13,blocked,1,0.0,2
36,14,blocked,1,0.0,2
36,3,working,2,0.0,3
36,6,working,2,0.0,3
37,0,working,2,0.0,0
37,7,working,2,0.0,0
37,10,blocked,1,0.0,0
37,11,blocked,1,0.0,0
37,1,working,2,0.0,1
37,4,working,2,0.0,1
37,5,blocked,1,0.0,1
37,12,blocked,1,0.0,1
37,2,working,2,0.0,2
37,8,working,2,0.0,2
37,9,blocked,1,0.0,2
37,13,blocked,1,0.0,2
37,14,blocked,1,0.0,2
37,3,working,2,0.0,3
37,6,working,2,0.0,3
38,0,working,2,0.0,0
38,7,working,2,0.0,0
38,10,blocked,1,0.0,0
38,11,blocked,1,0.0,0
38,1,working,2,0.0,1
38,4,working,2,0.0,1
38,5,blocked,1,0.0,1
38,12,blocked,1,0.0,1
38,2,working,2,0.0,2
38,8,working,2,0.0,2
38,9,blocked,1,0.0,2
38,13,blocked,1,0.0,2
38,14,blocked,1,0.0,2
38,3,working,2,0.0,3
38,6,working,2,0.0,3
39,0,working,2,0.0,0
39,7,working,2,0.0,0
39,10,blocked,1,0.0,0
39,11,blocked,1,0.0,0
39,1,working,2,0.0,1
39,4,working,2,0.0,1
39,5,blocked,1,0.0,1
39,12,blocked,1,0.0,1
39,2,working,2,0.0,2
39,8,working,2,0.0,2
39,9,blocked,1,0.0,2
39,13,blocked,1,0.0,2
39,14,blocked,1,0.0,2
39,3,working,2,0.0,3
39,6,working,2,0.0,3
40,0,working,2,0.0,0
40,7,working,2,0.0,0
40,10,blocked,1,0.0,0
40,11,blocked,1,0.0,0
40,1,working,2,0.0,1
40,4,working,2,0.0,1
40,5,blocked,1,0.0,1
40,12,blocked,1,0.0,1
40,2,working,2,0.0,2
40,8,working,2,0.0,2
40,9,working,2,0.0,2
40,13,blocked,1,0.0,2
40,14,blocked,1,0.0,2
40,3,working,2,0.0,3
40,6,working,2,0.0,3
41,0,working,2,0.0,0
41,7,working,2,0.0,0
41,10,blocked,1,0.0,0
41,11,blocked,1,0.0,0
41,1,working,2,0.0,1
41,4,working,2,0.0,1
41,5,blocked,1,0.0,1
41,12,blocked,1,0.0,1
41,2,working,2,0.0,2
41,8,working,2,0.0,2
41,9,blocked,1,0.0,2
41,13,blocked,1,0.0,2
41,14,blocked,1,0.0,2
41,3,working,2,0.0,3
41,6,working,2,0.0,3
42,0,working,2,0.0,0
42,7,working,2,0.0,0
42,10,working,2,0.0,0
42,11,blocked,1,0.0,0
42,1,working,2,0.0,1
42,4,working,2,0.0,1
42,5,blocked,1,0.0,1
42,12,blocked,1,0.0,1
42,2,working,2,0.0,2
42,8,working,2,0.0,2
42,9,working,2,0.0,2
42,13,blocked,1,0.0,2
42,14,blocked,1,0.0,2
42,3,working,2,0.0,3
42,6,working,2,0.0,3
